id;matarialname;purchasingmethod;budgit;needtime;planusetime;supplierid;price;secretlevel;audit_status
404633b1-0394-4f4a-a75f-7dc534d3f4c7;苦;8417;32383.4;2024-07-29;2024-07-29;9566;6054.35;PUBLIC;Approved
37eb21bc-417d-4ac9-bc16-81fb233048cc;boo;19460;1226.71;2024-07-30;2024-07-29;25823;14263.74;SECRET;Approved
9cc9b72f-d568-4374-ae19-33fd242b9a12;bookend 尽;12697;19367.3;2024-07-29;2024-07-29;19498;7127.83;NOSECTET_INTERNAL;Not_Audited
b20ee97b-cd46-4603-aac9-ab1862bf673d;following hazelnut;15598;29987.8;2024-07-30;2024-07-30;29059;1066.86;NOSECTET_INTERNAL;Not_Audited
31650b0c-89f7-4899-b9c6-2927b5ad0087;举;4733;11965.89;2024-07-29;2024-07-30;21451;2981.49;SECRET;Approved
9fa454f3-d24b-45d1-8e95-b96801477c16;about;5614;26602.36;2024-07-29;2024-07-30;15469;17308.19;NOSECTET_INTERNAL;In_Audit
e9421815-449f-4c17-b4ae-c97d15634b6a;不 inside;4886;15159.95;2024-07-29;2024-07-30;6488;7208.03;NOSECTET_INTERNAL;Approved
5ab44637-ecd4-4cf4-bc8d-3f89c07dda36;互相 caution 打;17084;23358.62;2024-07-29;2024-07-29;30806;27649.31;NOSECTET_INTERNAL;Approved
b4ca58ed-0682-45f5-8a12-f1c8db8079cd;way compass 咀;21469;15942;2024-07-29;2024-07-30;16683;9919.02;SECRET;In_Audit
7f07c52f-b393-4d37-8266-345aa2c66bcb;尽;25448;20499.31;2024-07-29;2024-07-30;19851;9519.15;NOSECTET_INTERNAL;Approved
