id;matarialname;purchasingmethod;budgit;needtime;planusetime;supplierid;price;secretlevel
c9a6f2d7-0f81-46e3-9b8e-4581a552719d;擅自 仍然 软;14766;29166.68;2024-06-24;2024-06-24;7206;3053.27;NOSECTET_INTERNAL
85b3a228-a906-4654-9f75-115b62fea693;than yuck unlike;11645;20670.01;2024-06-25;2024-06-24;2578;25608.28;PUBLIC
99f0a18a-db05-4b95-b236-8137593f8333;aside 撬;14082;2745.88;2024-06-24;2024-06-24;12239;1306.26;SECRET
7381f447-eb97-4bfb-9cd6-15430a1b6105;吸;7517;25296.98;2024-06-24;2024-06-24;20056;11353.35;SECRET
42fea095-c9c9-41a0-9a44-0ab3ee76232e;unlike;3434;7047.12;2024-06-24;2024-06-24;28367;30946.26;PUBLIC
5f077b78-baed-409f-8790-28fa1a6c5e40;past shout 逐步;30843;21986.83;2024-06-24;2024-06-24;9065;5226.69;NOSECTET_INTERNAL
4ef02bc6-b7e9-45d0-b13e-dd7e934fbf9e;启动 逐渐 格外;31758;2838.92;2024-06-24;2024-06-24;18908;10675.92;SECRET
427a989e-35c3-430e-8eb0-4c2fd6ef0f70;via 苦 摇;927;13815.66;2024-06-24;2024-06-24;12956;4161.48;NOSECTET_INTERNAL
650dc6ce-b768-488b-8690-2fdba14809fc;ha versus;12587;28912.6;2024-06-24;2024-06-24;18714;1767.35;NOSECTET_INTERNAL
28eafa10-42d3-4d48-9f70-5c59111157e5;别;15048;12921.32;2024-06-24;2024-06-24;14651;26609.18;NOSECTET_INTERNAL
